bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Jardim da Saúde,Casa de dois andares,388.0,3.0,1.0,4.0,6.0,700000
Vila Olímpia,Apartamento,80.0,2.0,1.0,3.0,2.0,739643
Pinheiros,Apartamento,94.0,1.0,0.0,3.0,2.0,630700
Vila Santa Clara,Condomínio,110.0,1.0,1.0,3.0,2.0,385000
Aclimação,Apartamento,141.0,4.0,3.0,4.0,2.0,1106000
Vila Andrade,Apartamento,188.0,0.0,4.0,4.0,3.0,910000
Santana,Flat,32.0,1.0,0.0,1.0,1.0,118999
Vila Moinho Velho,Apartamento,69.0,2.0,0.0,2.0,1.0,332500
Cidade Mãe do Céu,Cobertura,275.0,5.0,2.0,4.0,6.0,2590000
Sacomã,Apartamento,50.0,1.0,0.0,2.0,1.0,193200
Bosque da Saúde,Apartamento,64.0,2.0,1.0,2.0,2.0,350000
Vila Gomes,Apartamento,55.0,1.0,0.0,2.0,1.0,252629
Campo Grande,Casa de dois andares,99.0,4.0,3.0,3.0,4.0,315000
Jardim Marajoara,Apartamento,86.0,2.0,1.0,3.0,1.0,406000
Campo Belo,Apartamento,71.0,0.0,1.0,2.0,2.0,525000
Lapa,Apartamento,134.0,4.0,2.0,4.0,2.0,683200
Jardim Umarizal,Apartamento,50.0,1.0,0.0,2.0,1.0,157500
Vila Dom Pedro I,Apartamento,44.0,1.0,0.0,1.0,1.0,193900
Pinheiros,Apartamento,30.0,1.0,1.0,1.0,0.0,230221
Jardim Nove de Julho,Apartamento,45.0,1.0,0.0,2.0,1.0,175000
Móoca,Casa de dois andares,200.0,2.0,0.0,4.0,4.0,482999
Móoca,Apartamento,68.0,2.0,1.0,3.0,1.0,385000
Jardim Japão,Apartamento,78.0,1.0,0.0,3.0,1.0,258299
Santana,Apartamento,200.0,6.0,4.0,4.0,4.0,1540000
Vila Alpina,Apartamento,70.0,1.0,0.0,2.0,1.0,161000
Tatuapé,Apartamento,103.0,4.0,3.0,3.0,2.0,427000
Aclimação,Apartamento,141.0,4.0,3.0,4.0,2.0,1106700
Campo Belo,Apartamento,123.0,3.0,1.0,3.0,2.0,742000
Brooklin,Flat,31.0,1.0,1.0,1.0,1.0,339500
Vila Sofia,Apartamento,129.0,3.0,1.0,3.0,1.0,441000
Ipiranga,Apartamento,110.0,3.0,1.0,3.0,2.0,770000
Brooklin,Casa,175.0,4.0,1.0,3.0,2.0,1260000
Consolação,Flat,56.0,1.0,1.0,2.0,1.0,489999
Cidade Satélite Santa Bárbara,Apartamento,43.0,1.0,0.0,2.0,1.0,147000
Indianópolis,Apartamento,82.0,0.0,2.0,2.0,1.0,581000
Jardim Sao Paulo,Apartamento,65.0,1.0,0.0,2.0,2.0,266000
Vila Nivi,Apartamento,63.0,1.0,1.0,2.0,2.0,290500
Brooklin,Apartamento,41.0,1.0,0.0,1.0,1.0,326200
Moema,Flat,32.0,1.0,1.0,1.0,1.0,224000
Jardim Leonor Mendes de Barros,Apartamento,70.0,2.0,1.0,2.0,1.0,409500
Tucuruvi,Apartamento,65.0,2.0,1.0,3.0,1.0,287000
Jardim Taquaral,Apartamento,60.0,1.0,0.0,2.0,1.0,199500
Vila Dom Pedro I,Apartamento,56.0,1.0,0.0,2.0,1.0,210700
Vila Antonieta,Casa de dois andares,181.0,2.0,0.0,3.0,2.0,280000
Perdizes,Apartamento,123.0,3.0,1.0,3.0,2.0,735000
Jardim Umuarama,Casa,110.0,2.0,1.0,3.0,2.0,535500
Vila Mendes,Apartamento,61.0,2.0,0.0,3.0,1.0,196000
Jardim Sao Paulo,Apartamento,49.0,1.0,0.0,2.0,1.0,206500
Cerqueira César,Apartamento,240.0,3.0,1.0,4.0,2.0,1924999
