Feature,Importancia
area_util,0.28711730223823445
suites,0.1313865820517793
banheiros,0.12949855700507418
vagas_garagem,0.12509829471654965
quartos,0.09293956353095649
tipo_imovel_Casa de dois andares,0.02901085671091955
bairro_Higienópolis,0.021661274283726682
bairro_Jardim Paulista,0.013030180459467555
bairro_Vila Nova Conceição,0.010973570222368856
tipo_imovel_Cobertura,0.008316356571511956
tipo_imovel_Condomínio,0.007565383631299597
bairro_Pinheiros,0.007545588678156034
bairro_Cerqueira César,0.006674166606705006
tipo_imovel_Flat,0.0066676148556590945
bairro_Alto de Pinheiros,0.006149426647551927
tipo_imovel_Casa,0.00607392140555356
bairro_Itaim Bibi,0.005481173537211958
bairro_Vila Madalena,0.005303797173288621
bairro_Indianópolis,0.00478872187168941
bairro_Consolação,0.004037595564846057
