categoria,bairro,tipo_imovel,area_util,quartos,preco_venda,pred_real,erro_pct
Ótimo,Brooklin Paulista,Apartamento,187.0,3.0,1351000,1387770.0,2.72
Ótimo,Vila Isolina Mazzei,Casa de dois andares,129.0,3.0,475999,458794.0,3.61
Ótimo,Vila Mariana,Apartamento,90.0,3.0,644000,660835.0,2.61
Ótimo,Cidade Jardim,Casa de dois andares,360.0,4.0,1400000,1436517.0,2.61
Ótimo,Vila Mangalot,Casa de dois andares,100.0,2.0,349300,352416.0,0.89
Regular,Vila Monte Alegre,Apartamento,68.0,3.0,332500,398018.0,19.7
Regular,Vila Cordeiro,Apartamento,90.0,3.0,406000,449186.0,10.64
Regular,Vila Gomes Cardim,Apartamento,91.0,3.0,595000,502501.0,15.55
Regular,Jardim Paulista,Apartamento,160.0,3.0,1042999,933933.0,10.46
Regular,Indianópolis,Apartamento,48.0,1.0,572466,466888.0,18.44
Ruim,Bela Vista,Apartamento,132.0,2.0,385000,592961.0,54.02
Ruim,Água Fria,Casa,225.0,2.0,350000,677025.0,93.44
Ruim,Bela Vista,Flat,31.0,1.0,170100,268697.0,57.96
Ruim,Vila Morumbi,Apartamento,501.0,4.0,1610000,2639629.0,63.95
Ruim,Parque Vitória,Casa,100.0,2.0,244999,397636.0,62.3
