Feature,Importancia
area_util,0.2885483420710788
suites,0.12886834121092247
vagas_garagem,0.12558104430815764
banheiros,0.11499335695890815
quartos,0.08739801113568518
tipo_imovel_Casa de dois andares,0.03700207771426258
bairro_Higienópolis,0.02465286852980207
bairro_Vila Nova Conceição,0.02191934275257705
bairro_Jardim Paulista,0.017272370181272517
bairro_Alto de Pinheiros,0.01213960057874358
tipo_imovel_Cobertura,0.01113163564629308
tipo_imovel_Casa,0.007798885640797717
bairro_Cerqueira César,0.007214746300145453
bairro_Itaim Bibi,0.00719926436854009
bairro_Vila Madalena,0.0051416749875611055
bairro_Consolação,0.004966716149725999
bairro_Indianópolis,0.004861545501713937
bairro_Pinheiros,0.004086032545178562
tipo_imovel_Condomínio,0.003853261193276824
bairro_Moema,0.003633892728314282
